Produto,Preço,Pgto.,Nº Parcelas,Data,Cliente,E-mail,DDD,Telefone
Produto A,R$ 750,Cartão de Crédito,6,13/06/2018,Danubia Almeida,danubiaalmeida@gmail.com,19,979425089
Produto B,R$ 750,Boleto Bancário,11,09/03/2018,Danubia Souza,danubiasouza@gmail.com,20,992816199
Produto A,R$ 1200,Boleto Bancário,5,24/04/2018,Jhonn Martins,jhonnmartins@hotmail.com,50,995573759
Produto A,R$ 1000,Pix,10,01/03/2018,Samuel Martins,samuelmartins@yahoo.com,17,927076078
Produto C,R$ 1200,Cartão de Crédito,4,20/05/2018,Paula Almeida,paulaalmeida@hotmail.com,82,981730531
Produto C,R$ 750,Boleto Bancário,3,21/09/2018,Danubia Martins,danubiamartins@hotmail.com,57,991136796
Produto C,R$ 750,Boleto Bancário,3,04/07/2018,Presley Almeida,presleyalmeida@outlook.com,51,953622996
Produto B,R$ 1000,Boleto Bancário,3,23/07/2018,Tamires Santos,tamiressantos@outlook.com,35,925060511
Produto A,R$ 1200,Boleto Bancário,10,07/12/2018,Samuel Pereira,samuelpereira@gmail.com,69,973351593
Produto B,R$ 750,Pix,4,08/08/2018,Paula Santos,paulasantos@yahoo.com,80,950262143
Produto A,R$ 1000,Cartão de Crédito,3,24/02/2018,Mariana Santos,marianasantos@gmail.com,48,925849438
Produto C,R$ 500,Pix,12,30/08/2018,Alefy Pereira,alefypereira@hotmail.com,19,930473010
Produto B,R$ 750,Pix,3,10/05/2018,Jonatas Almeida,jonatasalmeida@outlook.com,52,963503196
Produto C,R$ 1000,Cartão de Crédito,7,01/07/2018,Jhonn Martins,jhonnmartins@hotmail.com,27,906755317
Produto A,R$ 500,Boleto Bancário,6,15/03/2018,Tércio Oliveira,térciooliveira@yahoo.com,78,997341541
Produto B,R$ 1000,Boleto Bancário,2,16/02/2018,Danubia Martins,danubiamartins@hotmail.com,37,949583141
Produto A,R$ 750,Pix,3,09/02/2018,Rafael Silva,rafaelsilva@hotmail.com,53,910884309
Produto C,R$ 1000,Boleto Bancário,11,30/10/2018,Tamires Costa,tamirescosta@outlook.com,34,978139853
Produto B,R$ 750,Cartão de Crédito,5,24/12/2018,Tamires Almeida,tamiresalmeida@gmail.com,98,939729950
Produto C,R$ 1200,Cartão de Crédito,9,15/10/2018,Tamires Silva,tamiressilva@outlook.com,23,943108392
Produto B,R$ 500,Boleto Bancário,3,17/03/2018,Jhonn Silva,jhonnsilva@yahoo.com,77,919261998
Produto C,R$ 500,Boleto Bancário,3,02/11/2018,Jonatas Costa,jonatascosta@hotmail.com,85,946935019
Produto B,R$ 1200,Boleto Bancário,10,20/07/2018,Presley Martins,presleymartins@yahoo.com,16,988953524
Produto C,R$ 500,Boleto Bancário,8,21/04/2018,Alefy Silva,alefysilva@hotmail.com,44,937822363
Produto B,R$ 1200,Pix,4,02/08/2018,Presley Oliveira,presleyoliveira@hotmail.com,21,987130277
Produto B,R$ 500,Pix,9,15/01/2018,Pedro Silva,pedrosilva@hotmail.com,26,955293315
Produto B,R$ 750,Boleto Bancário,3,15/04/2018,Bianca Santos,biancasantos@hotmail.com,12,936204245
Produto A,R$ 1000,Pix,5,05/10/2018,Tamires Oliveira,tamiresoliveira@hotmail.com,93,962943308
Produto B,R$ 1000,Cartão de Crédito,8,28/03/2018,Paula Costa,paulacosta@hotmail.com,15,930120580
Produto C,R$ 1000,Cartão de Crédito,11,26/09/2018,Presley Santos,presleysantos@hotmail.com,15,909558273
Produto A,R$ 500,Cartão de Crédito,4,14/02/2018,Lucas Oliveira,lucasoliveira@yahoo.com,24,994460130
Produto A,R$ 750,Pix,8,14/04/2018,Mariana Costa,marianacosta@hotmail.com,43,914170663
Produto A,R$ 1200,Boleto Bancário,10,17/09/2018,Lucas Almeida,lucasalmeida@hotmail.com,42,945129199
Produto B,R$ 1200,Pix,11,02/01/2018,Jonatas Souza,jonatassouza@outlook.com,32,984016231
Produto A,R$ 1200,Pix,3,21/06/2018,Elaine Souza,elainesouza@yahoo.com,86,908604949
Produto C,R$ 750,Cartão de Crédito,4,08/09/2018,Jhonn Santos,jhonnsantos@outlook.com,45,943827939
Produto C,R$ 1200,Pix,1,14/12/2018,Bianca Martins,biancamartins@yahoo.com,92,921014266
Produto B,R$ 750,Pix,3,16/01/2018,Pedro Costa,pedrocosta@yahoo.com,20,974479739
Produto B,R$ 500,Cartão de Crédito,8,18/12/2018,Samuel Martins,samuelmartins@gmail.com,57,944835991
Produto B,R$ 500,Cartão de Crédito,11,06/01/2018,Lucas Silva,lucassilva@yahoo.com,98,986033947
Produto C,R$ 500,Pix,11,14/11/2018,Tércio Oliveira,térciooliveira@gmail.com,70,964988373
Produto B,R$ 1200,Pix,12,26/02/2018,Pedro Oliveira,pedrooliveira@hotmail.com,94,949985934
Produto C,R$ 1200,Cartão de Crédito,8,09/07/2018,Pedro Pereira,pedropereira@gmail.com,94,986234357
Produto C,R$ 1200,Pix,9,27/07/2018,Jonatas Silva,jonatassilva@outlook.com,26,991424920
Produto C,R$ 500,Cartão de Crédito,6,21/01/2018,Jonatas Almeida,jonatasalmeida@gmail.com,94,931716056
Produto B,R$ 500,Pix,1,16/05/2018,Bianca Pereira,biancapereira@outlook.com,83,958324399
Produto C,R$ 1000,Pix,3,01/08/2018,Elaine Pereira,elainepereira@gmail.com,28,927463501
Produto C,R$ 750,Cartão de Crédito,6,25/06/2018,Tamires Souza,tamiressouza@outlook.com,76,906115784
Produto B,R$ 500,Cartão de Crédito,3,07/04/2018,Rafael Pereira,rafaelpereira@yahoo.com,94,973806338
Produto C,R$ 750,Pix,5,05/04/2018,Bianca Santos,biancasantos@yahoo.com,45,946252155
Produto A,R$ 1200,Cartão de Crédito,2,28/04/2018,Elaine Oliveira,elaineoliveira@hotmail.com,52,907890570
Produto C,R$ 1000,Boleto Bancário,5,07/02/2018,Tamires Souza,tamiressouza@yahoo.com,80,986077702
Produto C,R$ 750,Cartão de Crédito,11,01/03/2018,Rafael Pereira,rafaelpereira@gmail.com,43,997082329
Produto B,R$ 1000,Cartão de Crédito,9,30/12/2018,Tamires Pereira,tamirespereira@hotmail.com,93,960587758
Produto C,R$ 750,Boleto Bancário,8,05/08/2018,Samuel Souza,samuelsouza@yahoo.com,81,922851251
Produto C,R$ 1000,Boleto Bancário,12,06/11/2018,Jonatas Almeida,jonatasalmeida@hotmail.com,85,940003896
Produto B,R$ 1000,Cartão de Crédito,2,29/08/2018,Lucas Martins,lucasmartins@outlook.com,42,966027095
Produto A,R$ 1000,Boleto Bancário,1,23/01/2018,Samuel Oliveira,samueloliveira@outlook.com,68,941626182
Produto A,R$ 750,Boleto Bancário,7,14/08/2018,Mariana Almeida,marianaalmeida@gmail.com,29,980794552
Produto B,R$ 1200,Boleto Bancário,4,10/10/2018,Pedro Souza,pedrosouza@yahoo.com,14,905082432
Produto C,R$ 750,Boleto Bancário,3,28/10/2018,Samuel Santos,samuelsantos@outlook.com,35,939666899
Produto C,R$ 750,Pix,2,31/12/2018,Paula Souza,paulasouza@gmail.com,64,994713755
Produto B,R$ 1200,Cartão de Crédito,6,28/05/2018,Paula Oliveira,paulaoliveira@outlook.com,60,978683672
Produto C,R$ 1000,Boleto Bancário,9,31/05/2018,Rafael Costa,rafaelcosta@gmail.com,36,953499924
Produto C,R$ 500,Pix,7,03/08/2018,Samuel Oliveira,samueloliveira@gmail.com,50,980292875
Produto A,R$ 750,Boleto Bancário,10,30/04/2018,Pedro Silva,pedrosilva@yahoo.com,28,936701461
Produto A,R$ 1000,Boleto Bancário,7,03/04/2018,Mariana Pereira,marianapereira@yahoo.com,23,943036225
Produto C,R$ 750,Boleto Bancário,4,24/11/2018,Alefy Martins,alefymartins@outlook.com,22,940164373
Produto A,R$ 750,Cartão de Crédito,12,30/04/2018,Samuel Almeida,samuelalmeida@hotmail.com,52,984689182
Produto A,R$ 1000,Boleto Bancário,9,11/04/2018,Presley Santos,presleysantos@gmail.com,79,946588628
Produto A,R$ 1200,Pix,5,01/01/2018,Presley Almeida,presleyalmeida@hotmail.com,92,986199744
Produto B,R$ 1200,Cartão de Crédito,3,15/01/2018,Lucas Costa,lucascosta@gmail.com,78,925181391
Produto B,R$ 1000,Cartão de Crédito,10,03/05/2018,Bianca Oliveira,biancaoliveira@hotmail.com,93,922731266
Produto A,R$ 1200,Boleto Bancário,6,08/08/2018,Paula Pereira,paulapereira@outlook.com,48,967053153
Produto B,R$ 500,Cartão de Crédito,12,16/07/2018,Tamires Santos,tamiressantos@yahoo.com,64,906773474
Produto A,R$ 1000,Cartão de Crédito,3,22/05/2018,Bianca Martins,biancamartins@outlook.com,63,994282746
Produto A,R$ 1000,Cartão de Crédito,4,15/08/2018,Elaine Costa,elainecosta@yahoo.com,15,985249571
Produto B,R$ 1200,Cartão de Crédito,11,09/11/2018,Danubia Pereira,danubiapereira@yahoo.com,92,918820174
Produto C,R$ 1000,Pix,9,27/10/2018,Tamires Almeida,tamiresalmeida@hotmail.com,97,952005979
Produto B,R$ 500,Cartão de Crédito,5,10/04/2018,Paula Almeida,paulaalmeida@outlook.com,21,956197711
Produto A,R$ 500,Pix,9,18/11/2018,Alefy Oliveira,alefyoliveira@gmail.com,60,970635906
Produto B,R$ 1200,Pix,4,11/12/2018,Lucas Oliveira,lucasoliveira@hotmail.com,53,908832950
Produto C,R$ 1200,Boleto Bancário,9,08/08/2018,Jhonn Costa,jhonncosta@gmail.com,55,929501523
Produto B,R$ 1000,Cartão de Crédito,3,19/03/2018,Alefy Souza,alefysouza@hotmail.com,69,983908707
Produto B,R$ 500,Cartão de Crédito,9,23/02/2018,Elaine Almeida,elainealmeida@gmail.com,14,913495690
Produto C,R$ 1200,Boleto Bancário,9,21/11/2018,Samuel Oliveira,samueloliveira@yahoo.com,24,923040821
Produto B,R$ 1200,Pix,2,26/08/2018,Rafael Pereira,rafaelpereira@yahoo.com,53,941756322
Produto B,R$ 1000,Boleto Bancário,3,30/03/2018,Mariana Almeida,marianaalmeida@yahoo.com,91,980379259
Produto C,R$ 500,Cartão de Crédito,5,03/02/2018,Presley Silva,presleysilva@gmail.com,43,989436557
Produto A,R$ 1000,Boleto Bancário,9,17/04/2018,Pedro Silva,pedrosilva@gmail.com,93,907714724
Produto A,R$ 1000,Cartão de Crédito,8,07/09/2018,Presley Martins,presleymartins@hotmail.com,45,900321786
Produto C,R$ 750,Pix,11,06/02/2018,Elaine Souza,elainesouza@hotmail.com,28,925968201
Produto B,R$ 500,Cartão de Crédito,8,31/10/2018,Tamires Oliveira,tamiresoliveira@outlook.com,30,970840050
Produto B,R$ 500,Boleto Bancário,3,30/11/2018,Jonatas Silva,jonatassilva@gmail.com,28,950631786
Produto C,R$ 1200,Pix,2,02/01/2018,Jhonn Almeida,jhonnalmeida@gmail.com,20,958171315
Produto A,R$ 750,Pix,5,10/09/2018,Danubia Souza,danubiasouza@hotmail.com,21,934721432
Produto A,R$ 1200,Boleto Bancário,8,18/09/2018,Rafael Oliveira,rafaeloliveira@hotmail.com,88,941448772
Produto B,R$ 750,Pix,10,05/01/2018,Mariana Martins,marianamartins@gmail.com,56,952569551
Produto A,R$ 1000,Boleto Bancário,4,19/05/2018,Pedro Pereira,pedropereira@yahoo.com,52,988310964
Produto B,R$ 750,Cartão de Crédito,7,05/06/2018,Lucas Santos,lucassantos@hotmail.com,85,981548654
Produto B,R$ 500,Cartão de Crédito,9,11/10/2018,Alefy Souza,alefysouza@hotmail.com,41,915190767
Produto C,R$ 750,Cartão de Crédito,4,25/04/2018,Lucas Martins,lucasmartins@outlook.com,95,927986239
Produto A,R$ 1200,Boleto Bancário,3,19/06/2018,Samuel Costa,samuelcosta@outlook.com,53,972838160
Produto B,R$ 1200,Pix,8,13/09/2018,Bianca Souza,biancasouza@gmail.com,52,955715844
Produto B,R$ 1000,Boleto Bancário,5,02/06/2018,Jonatas Silva,jonatassilva@yahoo.com,21,924910714
Produto B,R$ 500,Boleto Bancário,9,17/10/2018,Tamires Santos,tamiressantos@hotmail.com,57,929192348
Produto A,R$ 750,Cartão de Crédito,3,23/02/2018,Elaine Pereira,elainepereira@hotmail.com,92,907941179
Produto B,R$ 1200,Boleto Bancário,9,16/02/2018,Mariana Almeida,marianaalmeida@outlook.com,40,941922929
Produto B,R$ 500,Cartão de Crédito,1,27/01/2018,Rafael Costa,rafaelcosta@outlook.com,41,986808302
Produto A,R$ 750,Cartão de Crédito,8,14/03/2018,Jonatas Costa,jonatascosta@hotmail.com,98,965046715
Produto A,R$ 750,Boleto Bancário,9,15/09/2018,Danubia Oliveira,danubiaoliveira@hotmail.com,91,955501590
Produto C,R$ 750,Pix,4,08/10/2018,Jhonn Oliveira,jhonnoliveira@gmail.com,13,954992274
Produto A,R$ 750,Boleto Bancário,9,08/02/2018,Alefy Almeida,alefyalmeida@yahoo.com,89,987655711
Produto A,R$ 1200,Boleto Bancário,4,13/03/2018,Danubia Pereira,danubiapereira@outlook.com,23,932670264
Produto B,R$ 500,Boleto Bancário,3,07/01/2018,Bianca Costa,biancacosta@outlook.com,64,977219012
Produto A,R$ 1200,Boleto Bancário,1,11/08/2018,Danubia Almeida,danubiaalmeida@gmail.com,29,962938746
Produto C,R$ 1200,Cartão de Crédito,5,09/02/2018,Elaine Martins,elainemartins@outlook.com,28,983417034
Produto C,R$ 1000,Cartão de Crédito,5,24/01/2018,Tonny Souza,tonnysouza@outlook.com,85,955848722
Produto A,R$ 1200,Cartão de Crédito,12,25/10/2018,Pedro Silva,pedrosilva@gmail.com,20,912430703
Produto B,R$ 1000,Boleto Bancário,6,04/09/2018,Bianca Santos,biancasantos@yahoo.com,20,902382344
Produto A,R$ 750,Boleto Bancário,3,01/10/2018,Lucas Souza,lucassouza@hotmail.com,88,925511934
Produto A,R$ 500,Pix,6,02/03/2018,Elaine Oliveira,elaineoliveira@hotmail.com,74,974663315
Produto A,R$ 1000,Boleto Bancário,5,14/07/2018,Samuel Martins,samuelmartins@yahoo.com,13,977474295
Produto B,R$ 1000,Cartão de Crédito,4,05/08/2018,Paula Silva,paulasilva@outlook.com,26,919433004
Produto B,R$ 750,Pix,9,08/05/2018,Tamires Costa,tamirescosta@gmail.com,83,980450091
Produto C,R$ 1200,Cartão de Crédito,6,11/09/2018,Presley Almeida,presleyalmeida@outlook.com,46,938424176
Produto B,R$ 1000,Cartão de Crédito,2,04/12/2018,Lucas Souza,lucassouza@gmail.com,32,958064772
Produto B,R$ 750,Pix,10,16/02/2018,Jonatas Santos,jonatassantos@hotmail.com,37,931463924
Produto A,R$ 500,Boleto Bancário,6,05/06/2018,Presley Pereira,presleypereira@yahoo.com,57,989788704
Produto C,R$ 1000,Boleto Bancário,10,19/09/2018,Tamires Silva,tamiressilva@hotmail.com,86,952046602
Produto B,R$ 750,Boleto Bancário,5,29/03/2018,Mariana Martins,marianamartins@outlook.com,21,989613196
Produto C,R$ 1200,Boleto Bancário,4,08/02/2018,Bianca Martins,biancamartins@gmail.com,20,906972218
Produto A,R$ 500,Boleto Bancário,1,27/10/2018,Rafael Santos,rafaelsantos@gmail.com,85,997257790
Produto A,R$ 1000,Boleto Bancário,10,21/08/2018,Pedro Oliveira,pedrooliveira@gmail.com,98,957083630
Produto A,R$ 500,Boleto Bancário,8,17/07/2018,Jonatas Souza,jonatassouza@hotmail.com,37,940551715
Produto C,R$ 1000,Boleto Bancário,4,08/07/2018,Lucas Almeida,lucasalmeida@gmail.com,29,993760618
Produto C,R$ 750,Pix,7,15/03/2018,Samuel Souza,samuelsouza@outlook.com,66,922761309
Produto A,R$ 1200,Boleto Bancário,8,21/06/2018,Elaine Almeida,elainealmeida@outlook.com,67,921516853
Produto A,R$ 1200,Pix,3,15/11/2018,Presley Martins,presleymartins@yahoo.com,74,906352262
Produto C,R$ 1000,Pix,11,02/11/2018,Lucas Costa,lucascosta@yahoo.com,29,966423334
Produto B,R$ 1200,Pix,4,23/03/2018,Tércio Pereira,térciopereira@yahoo.com,25,965656844
Produto B,R$ 500,Pix,10,12/09/2018,Tércio Souza,térciosouza@outlook.com,53,917805405
Produto A,R$ 750,Cartão de Crédito,4,20/02/2018,Presley Pereira,presleypereira@outlook.com,33,905265460
Produto C,R$ 1000,Pix,5,02/06/2018,Jonatas Costa,jonatascosta@yahoo.com,59,913398176
Produto B,R$ 1000,Pix,11,01/06/2018,Alefy Souza,alefysouza@outlook.com,39,983704415
Produto A,R$ 500,Pix,11,05/02/2018,Elaine Silva,elainesilva@hotmail.com,14,957201891
Produto A,R$ 1200,Pix,3,29/03/2018,Paula Costa,paulacosta@gmail.com,34,917727807
Produto C,R$ 1200,Boleto Bancário,8,09/02/2018,Bianca Silva,biancasilva@gmail.com,15,958143068
Produto C,R$ 1200,Boleto Bancário,4,13/09/2018,Tércio Costa,térciocosta@outlook.com,59,902065599
Produto B,R$ 500,Boleto Bancário,4,05/07/2018,Bianca Santos,biancasantos@yahoo.com,51,909124837
Produto B,R$ 750,Boleto Bancário,9,18/07/2018,Tamires Almeida,tamiresalmeida@outlook.com,26,962905075
Produto A,R$ 1000,Boleto Bancário,4,25/08/2018,Tamires Pereira,tamirespereira@outlook.com,56,946751399
Produto B,R$ 500,Boleto Bancário,5,16/10/2018,Tércio Silva,térciosilva@hotmail.com,40,900085339
Produto A,R$ 1200,Boleto Bancário,12,21/02/2018,Jhonn Oliveira,jhonnoliveira@hotmail.com,44,934885956
Produto A,R$ 750,Boleto Bancário,7,28/08/2018,Tamires Santos,tamiressantos@outlook.com,24,946766611
Produto A,R$ 1000,Pix,2,18/10/2018,Tonny Martins,tonnymartins@outlook.com,29,963618341
Produto A,R$ 1000,Boleto Bancário,5,23/09/2018,Elaine Pereira,elainepereira@outlook.com,16,976625922
Produto A,R$ 500,Boleto Bancário,7,23/06/2018,Jhonn Santos,jhonnsantos@outlook.com,58,979276256
Produto C,R$ 750,Cartão de Crédito,2,16/04/2018,Samuel Santos,samuelsantos@yahoo.com,60,908233610
Produto A,R$ 750,Pix,2,15/11/2018,Rafael Martins,rafaelmartins@hotmail.com,93,941523171
Produto C,R$ 750,Pix,11,24/09/2018,Tércio Almeida,tércioalmeida@gmail.com,44,955199914
Produto A,R$ 1000,Cartão de Crédito,3,10/07/2018,Elaine Costa,elainecosta@hotmail.com,45,906232767
Produto C,R$ 1200,Cartão de Crédito,12,22/02/2018,Tamires Silva,tamiressilva@gmail.com,50,960066692
Produto C,R$ 750,Boleto Bancário,4,27/05/2018,Jonatas Almeida,jonatasalmeida@outlook.com,48,919281831
Produto B,R$ 1000,Cartão de Crédito,9,28/04/2018,Paula Martins,paulamartins@hotmail.com,85,934198217
Produto A,R$ 500,Boleto Bancário,7,16/05/2018,Tonny Pereira,tonnypereira@hotmail.com,47,977577925
Produto A,R$ 1200,Cartão de Crédito,7,09/05/2018,Rafael Pereira,rafaelpereira@gmail.com,88,990839596
Produto A,R$ 750,Pix,3,12/12/2018,Presley Costa,presleycosta@hotmail.com,32,922944439
Produto B,R$ 1200,Boleto Bancário,4,06/10/2018,Bianca Pereira,biancapereira@gmail.com,89,902658186
Produto B,R$ 500,Cartão de Crédito,9,30/05/2018,Jhonn Costa,jhonncosta@hotmail.com,98,932384093
Produto B,R$ 1000,Cartão de Crédito,2,17/06/2018,Pedro Almeida,pedroalmeida@yahoo.com,69,945132628
Produto B,R$ 1200,Pix,7,18/02/2018,Paula Pereira,paulapereira@yahoo.com,31,922412461
Produto C,R$ 1000,Cartão de Crédito,9,18/08/2018,Pedro Pereira,pedropereira@outlook.com,74,986417575
Produto C,R$ 1200,Pix,9,07/07/2018,Paula Santos,paulasantos@gmail.com,25,962930967
Produto C,R$ 750,Pix,5,07/07/2018,Bianca Silva,biancasilva@hotmail.com,91,951162301
Produto B,R$ 1200,Pix,7,23/01/2018,Pedro Pereira,pedropereira@outlook.com,40,978398556
Produto C,R$ 750,Boleto Bancário,10,09/04/2018,Rafael Costa,rafaelcosta@yahoo.com,45,905636171
Produto A,R$ 1000,Boleto Bancário,4,20/01/2018,Rafael Costa,rafaelcosta@yahoo.com,39,934605097
Produto C,R$ 750,Pix,3,22/07/2018,Elaine Martins,elainemartins@hotmail.com,93,963597825
Produto B,R$ 750,Pix,11,07/05/2018,Presley Costa,presleycosta@hotmail.com,93,920850789
Produto A,R$ 750,Cartão de Crédito,2,05/08/2018,Bianca Almeida,biancaalmeida@outlook.com,43,972679602
Produto B,R$ 1000,Pix,9,26/01/2018,Mariana Oliveira,marianaoliveira@hotmail.com,99,905963568
Produto B,R$ 1000,Cartão de Crédito,5,03/08/2018,Alefy Santos,alefysantos@gmail.com,63,967790291
Produto B,R$ 1200,Cartão de Crédito,11,23/04/2018,Paula Martins,paulamartins@hotmail.com,19,918653504
Produto C,R$ 1200,Pix,2,19/02/2018,Tamires Pereira,tamirespereira@hotmail.com,99,947839729
Produto A,R$ 1200,Boleto Bancário,9,16/06/2018,Tércio Almeida,tércioalmeida@hotmail.com,83,948474923
Produto C,R$ 1000,Boleto Bancário,2,29/08/2018,Bianca Costa,biancacosta@gmail.com,39,947159827
Produto A,R$ 750,Pix,5,17/08/2018,Lucas Santos,lucassantos@gmail.com,28,989538936
Produto B,R$ 500,Boleto Bancário,2,10/08/2018,Paula Almeida,paulaalmeida@gmail.com,98,905246563
Produto A,R$ 1200,Boleto Bancário,10,03/12/2018,Rafael Oliveira,rafaeloliveira@yahoo.com,92,986615122
Produto C,R$ 1200,Cartão de Crédito,5,07/02/2018,Pedro Martins,pedromartins@outlook.com,54,951127981
Produto C,R$ 1200,Boleto Bancário,2,08/04/2018,Pedro Costa,pedrocosta@yahoo.com,87,962734021
Produto C,R$ 1000,Boleto Bancário,1,25/08/2018,Presley Costa,presleycosta@hotmail.com,79,915176512
Produto A,R$ 500,Cartão de Crédito,2,05/08/2018,Lucas Oliveira,lucasoliveira@yahoo.com,85,918755514
Produto C,R$ 1000,Cartão de Crédito,1,23/07/2018,Tamires Souza,tamiressouza@outlook.com,97,975782978
Produto A,R$ 500,Boleto Bancário,11,18/08/2018,Tércio Santos,térciosantos@outlook.com,67,925675604
Produto A,R$ 1000,Pix,9,09/12/2018,Danubia Souza,danubiasouza@hotmail.com,97,999982012
Produto B,R$ 750,Pix,7,01/11/2018,Pedro Costa,pedrocosta@gmail.com,39,912252467
Produto C,R$ 750,Boleto Bancário,5,23/06/2018,Tércio Pereira,térciopereira@hotmail.com,62,909637948
Produto B,R$ 750,Cartão de Crédito,9,16/02/2018,Rafael Costa,rafaelcosta@hotmail.com,78,990242252
Produto C,R$ 500,Boleto Bancário,4,21/10/2018,Bianca Martins,biancamartins@gmail.com,66,953543419
Produto C,R$ 1000,Cartão de Crédito,8,29/12/2018,Pedro Oliveira,pedrooliveira@gmail.com,50,923087679
Produto A,R$ 1200,Boleto Bancário,12,14/02/2018,Presley Souza,presleysouza@outlook.com,98,955363749
Produto A,R$ 500,Cartão de Crédito,3,08/03/2018,Bianca Costa,biancacosta@hotmail.com,49,945617963
Produto A,R$ 500,Cartão de Crédito,6,16/02/2018,Jhonn Souza,jhonnsouza@yahoo.com,38,976216944
Produto B,R$ 500,Cartão de Crédito,10,24/04/2018,Samuel Pereira,samuelpereira@yahoo.com,59,914760992
Produto B,R$ 1200,Cartão de Crédito,4,25/08/2018,Elaine Almeida,elainealmeida@yahoo.com,68,903254856
Produto C,R$ 1000,Pix,10,16/03/2018,Presley Souza,presleysouza@yahoo.com,73,938561346
Produto A,R$ 500,Boleto Bancário,2,01/01/2019,Mariana Martins,marianamartins@yahoo.com,71,937033239
Produto C,R$ 500,Cartão de Crédito,9,16/12/2018,Elaine Oliveira,elaineoliveira@yahoo.com,47,908733658
Produto A,R$ 750,Boleto Bancário,9,16/03/2018,Paula Pereira,paulapereira@outlook.com,29,923977645
Produto B,R$ 1200,Pix,6,08/03/2018,Bianca Silva,biancasilva@outlook.com,45,905485294
Produto C,R$ 1000,Boleto Bancário,2,14/01/2018,Jhonn Silva,jhonnsilva@hotmail.com,88,965793405
Produto A,R$ 1200,Boleto Bancário,9,07/12/2018,Jhonn Silva,jhonnsilva@hotmail.com,41,905090835
Produto B,R$ 500,Pix,1,11/04/2018,Jonatas Almeida,jonatasalmeida@hotmail.com,68,989240613
Produto A,R$ 1200,Boleto Bancário,1,20/07/2018,Mariana Martins,marianamartins@hotmail.com,57,977219269
Produto B,R$ 1000,Pix,2,10/06/2018,Tamires Costa,tamirescosta@outlook.com,89,995192892
Produto B,R$ 1200,Pix,12,08/12/2018,Lucas Almeida,lucasalmeida@yahoo.com,25,900955353
Produto B,R$ 500,Pix,9,10/07/2018,Tonny Santos,tonnysantos@outlook.com,75,908784123
Produto B,R$ 1200,Cartão de Crédito,10,04/08/2018,Tércio Oliveira,térciooliveira@hotmail.com,52,908451998
